Date,Workout,Uwagi
2021-03-24,"Rowing: 3k ok 13:10 min. Ostatni kilometr trochę szybciej
Pull-ups : 10x3
FSQ:
- 20x5, 30x5, 40x5, 50x5x4","Pierwszy raz 50kg FSQ na powtórzenia. nie do konca wiem, co z moją techniką"
2021-03-25,"DL: 
- 70x5, 80x5, 90x5, 100x5 paused
- 100x5, 120x4, 110x3x5
KB, PR: 14x5x5
FSQ: 20x5, 30x5, 40x5, 50x3x3, 55x1
Pullups- 10x1","Pullups cieżko. może ze względu na prace dziś. 1 seria DL też cieżkawo, ale potem już ok. Pierwszy raz robilem FSQ na 5 powtórzeń. 55x1 też dość łatwo."
2021-03-26,"Rowing: 5k, ok. 22:32 i 20/21 SPM
Pull-ups: 10x2",Nie robiłem FSQ. byłem wykonczony po tygodniu fizycznej pracy. a jutro rano też chcę zrobić trening.
2021-03-27,"KB: 
- CL/PR/SQ 12 kg L+P, 1-5
- PR 16x5x5 
- SW: 32x10/1min x10. Ostatnie 3 serie: 12, 13, 15
- SN: 20x3x10 
DL: 60x5x10
FSQ: 20x5, 30x5, 40x2x4
Pullups - 10x2","zerwalem łapę przy SN, więc przerwałem wcześniej. chciałem zrobić więcej serii. FSQ zadziwiająco cieżko mi się robiło, więc też nie robiłem więcej serii."
2021-03-29,"DL:
- 70x5, 80x5, 90x5, 100x5 paused
- 110x3, 120x3 HG, 130x3 HG
- 140x2x5 HG (L/R), 140x4, 140x3, 140x2  - straps
- 120x5
KB, PR 14x6x5
Back ext 10x3","Jakos nie moge sie jeszcze wdrozyc do Hook Grip HG. Dziwnie sie czuje robiac DL w tym uchwycie, dlatego zabralem paski. w paskach duze lepiej sie czulem z ramionami symetrycznie, niz w HG. Bardzo dawno nie podnosilem takich ciezarow, wiec nie bylem pewien, jak pojdzie. Jestem troche zadowolony, a troche nie. Czuje, ze sily mam wiecej, co widac np. przy opuszczaniu sztangi, ale pierwsze ciagi nie byly za dobre technicznie i przy tym ciezarze mam jeszcze sporo zastrzezen do techniki. Chyba przy nim pozostane na jakis czas, zanim pojde do gory."
2021-03-30,"Rowing: 5k, ok 22:43 min, 20 SPM
KB, PR 14x5x5
Pullups 10x1
FSQ: 20x5, 30x5, 40x4x5","Bylem obolaly po pracy
"
2021-03-31,"Rowing: 3k, ok 13:10, 20 SPM
FSQ: 20x5, 30x5, 40x5x5",
2021-04-01,"Rowing: 2k
DL: 
- 70x5, 80x5 paused
- 90x6x5 paused
- 100x5x5 deficit
Pullups 10x1","DL nie byly ciezkie, mimo intensywnej pracy wczoraj. "
2021-04-02,"Rowing: 5k, ok 22:40, 20/21 SPM
FSQ: 20x5, 30x5, 40x5x4","Rano na treningu byłem mega zmęczony. Kumulowało sie zmęczenie z całego tygodnia fizycznej pracy. 5k na ERG była męka. chciałem robic tez KB PR, ale nie chciałem się dodatkowo masakrować. FSQ też cieżkawo, dlatego nie robiłem 5 ruchow w serii. Kicha. a na jutro planowałem cieżkie DL. Zobaczymy, czy je zrobię."
2021-04-04,Lockdown do odwolania,"Od soboty 03 IV znowu lockdown i silownie sa zamkniete. Czyli ponownie powtarza sie sytuacja, w ktorej w DL wchodze na wyzsze ciezary i musze przerwac trening. What can I do? Jesli lockdown sie przedluzy, to moze pozycze KB z boxu."
2021-04-11,"DL: 
- 70x5, 80x5, 90x5, 100x5, 110x3, 120x3, 130x3
- 140x2x5, 140x1x4, 140x2x3, 120x5
FSQ: 
20x5, 30x2x5","Wrocilem do treningu po otworzeniu ponownym silowni. Nie wiedzialem, jak wejdzie 140. Mialem paski. Bylo dosc ciezko i sztanga wolno szla do gory, ale dalem rade zrobic wszystkie zaplanowane powtorzenia. Celuje dalej w 5x5 i potem pewnie jeszcze troche w gore. Technicznie bylo ok. To duza roznica, gdy nie musze sie koncentrowac na sile uchwytu, a moge po prostu sie skupic na podnosizeniu ciezaru."
2021-04-12,"Rowing: 2k, ok 8:33 i 20 SPM. Kolejne 500m coraz szybciej
KB, PR: 14x5x5
FSQ: 20x5, 30x5, 40x4x5",czulem w nogach DL wczorajsze i nie forsowalem sie 
2021-04-15,"DL: 
- 70x10x10
KB, PR
- 14x7x5","Dzis troche wieksza objetosc DL. Caly czas probuje wkomponowac trening w prace fizyczna. Na szczescie cialo sie juz troche zaadaptowalo do pracy i nie jestem tak padniety, ale i tak spie po 8-10 godzin."
2021-04-16,Rowing: 5k in 23:10. ,Każdy kolejny kilometr coraz szybciej. Początek wolno
2021-04-17,"KB: 
- PR: 16x5x5
- SW: 32x10x10 in 1 min
- SN: 10/10 x 10 L/R","znowu zerwałem łapę lewą, ale w innym miejscu. Odciski w lewej rece zaczynają wpływać na moją technikę. muszę coś wymyśleć na te odciski, żeby móc dalej w spokoju ćwiczyć SN"
2021-04-18,"DL:
- 70x5, 80x5, 90x5, 100x5, 110x3, 120x3, 130x3
- 140x2x5, 140x4x2, 140x3
Rowing:
- 2k ok 8:30, każde 500 szybciej. ostatnie ponizej 2 min","Ciągi ciężkie. Ewidentnie dotykam swojej granicy. Zastanawiam się, czy dam radę zrobic 140x5x5. niby brakuje mi tylko pare ruchow, ale te powtorzenia robia roznice. Technicznie nie najgorzej. Najtrudniej podniesc do kolan, potem juz grzbiet i posladki sa silne. "
2021-04-19,"Rowing: 
- 10k, time: 45:50, around 20 SPM","pierwszy raz przejechałem 10k. Nie było strasznie. Slizgaly mi sie rece na drazku. Nie wiedzialem, jak pojdzie, dlatego tempo nie bylo forsowne. ale i tak jestem zadowolony. Ostatnie 2k najszybciej - ok 8:50 i 22 SPM"
2021-04-21,"Rowing:
- 5k, time: 22:06
FSQ:
-  20x5, 30x5, 40x4x5","w sumie dobrze mi sie wioslowalo. Zaskakujaco dobrze ostatnie 2k. Pierwsze 2k mega wolno. Czuje duza roznice, gdy jestem rozgrzany. Niespodziewanie prawie złamałem 22 min i widać, że jestem w stanie spokojnie to zrobic. urwac 6 sek w pierwszej polowie nie powinno byc trudno. 

FSQ - dość dawno nie robiłem. Nogi miałem zmęczone trochę po wiosłowaniu, ale i tak zrobiłem parę serii."
2021-04-22,"DL:
- 40x10, 70x10, 80x5, 90x5
- 100x10x5 paused

FSQ
- 20x5, 30x5, 40x5x5",
2021-04-23,"Rowing: 
- 5k x 2, time: 23:13 i 22:44","Drugi interwał szybszy od pierwszego, mimo że nie starałem się jakoś specjalnie cisnąć i byłem zmęczony po całym tygodniu pracy i rannym wstawaniu."
2021-04-24,"KB:
- PR: 16x6x6
- SW: 32x10/min x10. Ostatnie dwie serie 15 powtórzeń
- SN: 20x6x10 L+R","Zadowolony jestem, że nie zerwałem odcisków w lewej ręce. SW 32kg wydawały się jakby trochę lżejsze, czyli ok. I w PR też więcej serii i lewa ręka wydawała się też trochę silniejsza."
2021-04-25,"DL:
- 70x2x5,˛80x5, 90x5, 100x5, 110x3, 120x3, 130x3
- 140x5, 140x4, 140x2x5, 140x2","Prawie zrealizowałem plan treningowy na dzisiaj. Bez jednego powtórzenia w ostatniej serii. I nawet zabrakło mi nie tyle siły, ile przekonania. Właściwie ciągi w 1 serii były ok. sztanga nawet szybciej szła do góry, ale generalnie czułem się zmęczony już na starcie po całym tygodniu pracy fizycznej i rannym wstawaniu. Drugą serię miałem zrobić na 5 powtórzeń, ale nie potrafiłem się zmusić na 5. Odpuściłem. za to 4 i 5 seria jakoś poszły, ale w 5 też mi odeszła motywacja i doszedłem do przekonania, że w obecnych warunkach tzn. pracy i jej godzinach trudno mi cisnąć DL na siłę. Dlatego od przyszłego tygodnia zmieniam podejście i zacznę robić dużą objętość z małymi ciężarami, aby po 1-2 msc znowu spróbować zacząć robić siłę. "
2021-04-26,"Rowing:
- 5k, time: around 22:58

FSQ: 
- 20x5, 30x5, 40x5x5, 50x5",FSQ z 50kg juz troche ciezko. ale przeciez wczesniej wioslowalem i miałem normalna serie z 40kg
2021-04-27,"DL:
- 70x12x10, 50x10x3",Dzis robilem wieksza objetosc
2021-04-29,"DL:
- 70x10x5
Rowing:
- 5k, time: 23:20, SPM 19/20","Pierwsze serie DL byly ciezkie mimo malego ciezaru. Czulem zmeczenie miesni po ostatnim treningu. Nigdy wczesniej nie robilem takiej objetosci, wiec czulem dzis jeszcze zmeczenie. i do tego praca fizyczna... Wioslowalo tez mi sie ciezko, ale chcialem tylko troche powioslowac, zeby pocwiczyc ruch. "
2021-04-30,"Rowing:
- 2k
FSQ:
- 20x5, 30x2x5, 40x2x5, 50x3x3, 40x3","Na ERG pierwszy 1k b. wolno, bez rozgrzewki, ok 4:50. Potem chcialem sie przekonac, czy dam rade zejsc ponizej 9 min i 2k przyspieszyłem i sie udalo. Trzecie 500m mialem 1:59, a czwarte 500m - 1:50!!! Czyli ostatni kilometr ponizej 4min! Na FSQ chcialem wejsc na troche wieksze ciezary i 50 kg bylo ok. nie chcialem przeginac i sie zmuszac do wiekszej ilosci powtorzen lub serii. ale 50kg felt ok!"
2021-05-01,"KB:
PR: 16x6x5
SW 32x10/1min x10
SN 20x10 L, R x 5
PR 20x1

DL: 60x10x10",Znowu udalo mi sie nie zerwac lapy w SN. W PR czuje wiecej sily i podnioslem 20kg. Czuje sie troche lepiej w ogole
2021-05-05,"Rowing: 
- 5k, time: 22:50, SPM 19/20

DL:
Trapbar 70x8x10

Pull-ups: 10x2","Po paru dniach przerwy nie chciałem przeginać z wiosłowaniem i cieżarami, dlatego dzis było dosc luzno. Pierwszy raz cwiczyłem na trapbarze. Duzo miniejszy zakres ruchu jest wtedy, ale to ciekawa alternatywa i uzupełnienie dla klasycznego DL"
2021-05-06,"DL:
- 70x10x10
FSQ:
- 30x6x5
Pull-ups:
- 10x2",Po wczorajszym trapbarze czuję nieźle mięśnie pośladków. Dziś 70kg było bardzo lekkie.
2021-05-08,"Rowing:
- 10k, time: 45:55, SPM 19/20","Po całym tygodniu pracy i rannego wstawania nie chciałem przeginac z tempem oraz byłem zmęczony, ale i tak miałem ochotę na dłuższy row."
2021-05-08,"KB:
- PR 16x6x5
- SW 32x4x15
- SN 20x6x20 L+R
- PR 20x1
DL:
- 60x10x10
Pull-overs:
-10 !!!!","Przyszedłem do gym-u i wskoczyłem na drążek i zrobiłem 10 wymyków pod rząd, bez opuszczania się! Poprawiłem swój rekord z głębokiej młodości, kiedy zrobiłem 9 wymyków. Kurde, super, że jeszcze jestem w stanie się poprawiać w gimnastyce, mimo, że nie ćwiczę tego ruchu. Widocznie pull-ups i inne siłowe make it possible."
2021-05-10,"DL:
20x10, 50x10, 70x10x10
KB, PR: 
16x7x5",
2021-05-11,"Rowing:
- 2k, time: 7:48,9, SPM = 24

FSQ: 20x5, 30x5, 40x5, 50x4x4, 40x5

Pullups: 5kg: 5x5","Niespodziewanie, po małej rozgrzewce postanowiłem sprawdzić swój wynik na 2k. Ostatnio miałem 8:06 i chciałem się przekonać, czy uda mi się złamać 8min, gdy zacznę szybciej. I udało się. Pierwsze 500m i tak było wolno, ale potem udało mi się utrzymać tempo. 1k było ok 4 min, a potem już przyspieszyłem i udało się!!! Ostatnie 500m było cieżkawo, ale dałem radę. Brakowało trochę oddechu. ale jestem mega zadowolony. złamać 8min, to jest coś, a wcale nie robiłem szczegolnego treningu pod tym kątem. Mysle, ze jest jeszcze spory potencjał na poprawę. ale czy będę chciał iść w tą stronę?
Fajnie było znowu podciągać się z ciężarem. Mam sporą chęć wrócić do tego ćwiczenia. Chce mi się trochę złamać monotonię DL."
2021-05-12,"Rowing:
- 5k, time: 22:47, SPM 20
DL: 
- 70x10x10 deficit
KB, PR:
- 16x5x5",
2021-05-13,"Rowing: 2k
FSQ: 20x5, 30x5, 40x5, 50x5x4
Pullups: 5kgx7x5
DL: 70x5, 80x, 90x5, 100x5, 110x5, 120x5","Tak poszedłem z DL trochę w górę, żeby się przetrzeć."
2021-05-14,"Rowing:
- 5k, time: 24min, SPM 18/19
DL: 
- 60x10x10 paused
KB, PR:
- 18x5x4","Byłem zmęczony po całym tygodniu i nie śpię zbyt dobrze. Budzę się w środku nocy. Dlatego chciałem zrobić lekki trening. W rowing, przy 18 SPM generuję 130-140 Watt.
Nie znalazlem kettla 16kg, dlatego robilem 18 i wyszlo calkiem ok."
2021-05-15,"Rowing: 2k
Pullups: 10kgx6x5
FSQ: 20x5, 30x5, 40x5, 50x4x5",
2021-05-16,"Rowing: 5k, time: 23:26
DL: 70x5x10 paused, 70x5x10
KB, PR: 16x5x5","Bylem zmęczony po całym tygodniu pracy i treningow. Czułem mięśnie nog i pierwsza seria DL wydawała się ciężka, potem już łatwo. Na ERG zadziwiająco dobrze. Nie chciałem forsować tempa i chciałem po prostu sobie gładko przejechać 5k, co mi się udało."
2021-05-17,"KB: 
- 1HSW 28x2x10 L/P
- SN 20x7x10 L+P
Pullups:
- 8x5
- 12x4x5",
2021-05-18,"Rowing: 2k x2
DL: 70x10x10 deficit
Pullups: 10x1","lekko mi sie wioslowalo i DL tez jakos lekkie, mimo zmeczenia po pracy"
2021-05-19,"Rowing: 
- 5k, time. 21:57, SPM 20!!!
FSQ:
- 20x5, 30x5, 40x5, 50x5x5, 60x3
KB, PR:
- 16x5x5
Pullups:
- 10x1","Niespodziewanie pękło 22 min na 5k. nie zamierzałem robić sprawdzianu, ale jakoś tak dobrze mi się jechało, więc w ostatnim km przycisnąłem i udało się. SPM 20!!!, wiec to było b. swobodne wiosłowanie na dystansie. We FSQ też 50x5x5 poszło dość dobrze i byłem już rozgrzany, więc potem spróbowałem 60kg pierwszy chyba raz i poszło ok."
2021-05-21,"DL: 
- 20x10, 50x2x10 
- 70x6x10 paused
- 70x4x10 deficit
Pullups:
- 10x5x5",
2021-05-21,"Rowing:
- 5k, luzno, time: 23:40, SPM 20
- 2k cool-down

FSQ:
- 20x5, 30x5, 40x6x5

Pull-over
- 2x5",
2021-05-22,"KB, PR: 
- 20x5x3
1HSW:
- 28x10 L+P x 2
SN
20x7x10 L+P

DL: 60x10x10",
2021-05-24,"Rowing:
- 5k, time: 22:37, SPM 20
KB, PR: - 18x5x5
DL: 70x10x10",
2021-05-25,"Rowing: 2k
FSQ: 20x5, 30x5, 40x5, 50x5x5
Pullups: 10x5x5",
2021-05-26,"Rowing: 5k, time: 23:1, SPM = 19
DL: 70x4x10 paused, 70x4x10 deficit
KB. PR: 16x5x5",
2021-05-27,"Rowing: 2k
FSQ: 20x5, 30x5, 40x8x5
Pullups: 5x5, 10x5x5",
2021-05-28,"Rowing: 2k x2
DL: 50x5, 70x5, 80x5, 90x5, 100x5x5
Pullups: 5x5, 10x5, 15x5x5",
2021-05-29,"KB, PR: 16x5, 20x2x4, 20x3
KB, 1SW 28x10 L+P
KB, SN: 20x8x10 L+P
Pullups: 12x5x5",
2021-05-30,"Rowing: 5k, time: 23:15, SPM 20
DL: 30x5, 40x5, 50x5, 70x5, 80x10x10
FSQ: 20x5, 30x5, 40x5, 50x5x4",
2021-06-01,"Rowing: 2k x2, time ok 9min
FSQ: 20x5, 30x5, 40x5, 50x4x5
Pullups: 5x5, 10x5, 15x2x5, 10x5","Jestem jeszcze jakos zmeczony po niedzielnych ciagach. Pierwsza seria FSQ przy 50 wydawala sie ciezka, ale potem juz bylo ok. cialo sie zaadoptowalo i wlasciwie bylo dosc lekko. Pullup-y tez w ostatnim tygodniu robilem dosc czesto, wiec dzis nie chcialem forsowac za duzej liczby i ciezaru. Chcialem zrobic 3 serie z 15, ale zmienilem na 2 i ostatnia zrobilem z 10. Zastanawiam sie, czy robic dalej DL z 80, czy troche odpoczac i robic z 70.  "
2021-06-02,"Rowing: 2k
DL: 70x10x10
KB, PR: 16x5x5",
2021-06-03,"Rowing: 5k, time: 22:35, SPM 19
DL: 70x5x10
FSQ: 20x5, 30x5, 40x5x5
Pullups: 10x5x5
Pullover: x5",
2021-06-05,"Rowing: 24
DL: 20x5, 70x5, 80x10x10
Pullups: 5x5, 10x4x5","Trening robilem 4 VI, ale dopiero dzis go wpisuje. DL z 80kg bylo zaskakujaco latwe"
2021-06-05,"KB, PR: 16x2x5, 20x4, 20x3, 20x2x1, 20x3, 20x2, 20x1, 20x3, 20x2,, 20x1
KB, SN: 20x5x10 L+P","czułem sie dzis, jakby walec mnie przejechal. zle spie ostatnio i nie chcialem przeginac."
2021-06-06,"Rowing: 5k, time: 22:38, SPM - 18/19
FSQ: 20x5, 30x5, 40x5, 50x5x5, 60x3
Pullups: 5x3x5, 10x3x5",
2021-06-07,"Rowing: 2k
DL: 20x10, 40x10, 70x10x10",
2021-06-08,"Rowing: 2k
FSQ: 20x5, 30x5, 40x8x5
Pullups: 5x5, 10x5x6",
2021-06-09,"Rowing 2k
DL: 50x5, 70x5, 80x5, 90x5, 100x5, 110x5, 120x5",
2021-06-10,"Rowing: 5k, Time 22:08, SPM 18
DL: 70x5, 80x5, 90x5, 100x5, 110x5, 120x5
Pullups: 5x5, 10x6x5
Pullover: 5","Chciałem zrobić szybki trening, dlatego malo DL. Next week bede robil pewnie 80x10x10, a teraz dla przetarcia wszedlem na 120"
2021-06-11,"Rowing: 2k
KB; PR: 16x5x5
FSQ: 20x5, 30x5, 40x5, 50x6x5",
2021-06-12,"KB: SN 28x5 L/R
SN: 20x8x10 L+R
DL: 60x10x10","Pierwszy raz robilem SN z 28kg. Zrobilem po 5 na rękę. Prawa silniejsza, czułem się pewniej. ale z drugiej strony lewa była bardziej porwana wczesniej. I dzis ponownie po 8 serii z 20kg  zerwałem lewą. 200 SN by weszło. siłę miałem, ale te odciski..."
2021-06-13,"Rowing: 5k, time:  21:58, SPM 19
FSQ: 4x4x40
PUllups: 5x5x5","w sumie nie zamierzalem lamac 22 min na 5k. Chciałem wolno sobie przepłynać. 1k mega wolno. kolejne 3 spokojne, rowne tempo. nie wiem, co mnie podkusilo, zeby sie sprawdzic na ostatnim k. Przycisnalem i sie udalo. w sumie jestem zadowolony."
2021-06-15,"Rowing: 2k
DL: 70x10x10
KB, PR: 18x5x5 L/R",
2021-06-15,"Rowing: 2k
FSQ: 20x5, 30x5, 40x6x5",
2021-06-19,"DL: 60x10, 70x10, 80x11x10
Pullups: 5x2x5, 10x2x5, 15x3x5","Brałem szczepionkę tego dnia, ale w ogole nic nie czułem tego i mialem jakos sporo sily i martwe z 80kg poszly bardzo latwo."
2021-06-19,"Rowing: 2k
FSQ: 20x5, 30x5, 40x5, 50x5, 55x5x5","pierwszy raz takie FSQ z 55 kg. ostatnia seria trochę ciężkawo, ale w sumie ok."
2021-06-19,"KB; PR: 16x5, 20x6x6, L/R
KB, SN: 28x3x3 L/R
DL: 60x10x10","Pierwszy raz SN robilem z 28. Male ilosci, ale i tak spory ciezar dla mnie. Najslabsze ogniwo, to ręka. Sily w grzbiecie i nogach bylo dosc, ale sie obawialem, ze znowu zerwe lape."
2021-06-21,"Rowing 2k
DL 70x10x10",
2021-06-22,"Rowing 2k
FSQ 20x5, 30x5, 40x10x5
Pullups 5x5, 10x5x5",
2021-06-24,"Rowing 2k
DL 80x10x10",
2021-06-25,"Rowing: 2k
FSQ: 20x5, 30x5, 40x10x5
Pullups: 5x2x5, 10x6x5",
2021-06-26,"KB, PR 16x6x5, 16x4x1
SN 20x10x10 L+R
DL 60x10x10",W końcu zrobiłem 200 SN. Ale zerwałem obie łapy kompletnie
2021-06-28,"Rowing: 2k
DL: 50x10, 70x5, 80x10x10
Pullover: 5x1","80kg z DL poszlo dosc latwo. ERG tez dosc dobrze, choc maly dystans, ale w sumie pare dni nie wioslowalem"
2021-06-30,"Rowing 2k
FAQ 20x5, 30x5, 40x10x5
Pullups 5x5, 10x5, 15x5x5, 20x3x5",
2021-07-01,"Rowing 2k
DL 70x10x10",Strasznie ciężko mi się wioslowalo. Może dlatego że był straszny upał lub po prostu jestem zmęczony po pracy. Jutro spróbuję przy wiosłować 5 km zobaczę jak mi pójdzie kropka a może zrezygnuję.
2021-07-09,"Rowing: 5k - time 22:34, SPM 19
Trap bar 50x2x10
DL: 60x10x10","Wrocilem z odosobnienia i bylem zmeczony i obolaly i 16h na glodowce, ale i tak zrobilem 5k, mimo ze dawno nie wioslowalem takiego dystansu i bylo ok. 
DL byly ok, ale czulem sie troche glodny i taki zardzewialy. a do tego planuje niedlugo 7 dniowa glodowke, a chce zaczac znowu robic sile. zobaczymy"
2021-07-15,"Rowing 2k
DL 40x10, 70x10x10
Pullups 5x5x5","Ciężko dość było po 2 tygodniach bez ćwiczeń. Czułem się zmęczony i myślałem, że nie zrobię dl do końca. "
2021-07-16,"Rowing 2k
FSQ 20x10, 30x5, 40x10x5",Ciężko mi się siadało.
2021-07-17,"KB, PR: 16x6x5
SW 32x8x10 z przerwami
SN 20x10 L/R
1HSW 28x10 L/R
Pullups: 8x5x5","Fatalnie mi sie robilo snatche. Ręce tzn dlonie byly tak delikatne i odzwyczajone, ze mnie piekly. czyli sila w nogach i grzbiecie byla, ale dlonie potrzebuja jeszcze zaprawy. Jednak 2 tygodnie przerwy robią sporą roznice. "
2021-07-18,"Rowing: 5k, time: 23:20, SPM 18/19
FSQ: 20x3x10, 30x5, 40x10x5","Wioslowalem dosc swobodnie i wolno. nie chcialem forsowac tempa za bardzo. Ostatnie 500m troche szybciej. FSQ dość ciężko. cały czas jeszcze czuje przerwe w ćwiczeniach. a od jutra 7 dniowa glodowka. zobaczymy, jak mi pojdzie z cwiczeniami"
2021-07-19,"Rowing: 5k
DL: 60x10x10","Wiosłowanie i DL poszły spoko. ciało sobie przypomina obciążenie. ale dodatkowo dzis jest 1 dzien glodowki. zobaczymy, jak bede sie czul dalej. mam zamiar poscic 7 dni"
2021-07-20,"Rowing, 5k, time 23.35, spl 18
FSQ 20x2x5, 30x5, 40x10x5
Pullover 12 ","Pb in Pullover! Sqauty poszły ok, mimo trwającej głodówki."
2021-07-21,"Rowing 2k
DL 60x10x10
Pullups 10x5x5",W sumie dość dobrze mi się ćwiczyło. DL lekko u podciągnięcia też.
2021-07-22,"Rowing 5k, 
FSQ 45x6x5",
2021-07-23,"DL: 40x2x10, 60x10x5","Nie czułem się zbyt dobrze rano. Zle spałem i może to też efekt drugiej dawki szczepionki i/lub głodówki. Chciałem szybko skończyć trening, więc zrobiłem mało DL"
2021-07-24,"KB, PR 16x5x5
SW 32x10x10
SN 20x5x10 L/R",
2021-07-26,"DL: 50x2x10, 70x10x10
Pullups: 5x2x5, 10x4x5",Wczoraj wieczorem skonczyłem 7 dniową głodówkę i dziś już przyjmowałem jedzenie. dzięki temu miałem dużo energii na treningu i właśnie z duża energią go zrobiłem.
2021-07-27,"Rowing: 5k, time: 23:25, SPM 19
FSQ: 20x2x5, 30x2x5, 40x2x5, 50x5x5
Pullups: 5x5x5","Kurde, roznica, gdy cwiczysz podczas postu, a wtedy gdy jestes naladowany kaloriami jest kolosalna. Wczoraj tak bylo w ciagach, dzis w na ERG i FSQ tez 1 raz robilem 50x5x5, wiec jestem zadowolony. zobaczymy, jak dalej pojdzie z DL"
2021-07-29,"DL 50*2*10, 70*1*10, 80*10*10",
2021-07-30,"Rowing 2k
FSQ 20*5, 30*5, 40*5, 50*5, 60*5*3",
2021-08-01,"DL 20*10, 50*10, 70*10, 80*10, 90*10*9","Pierwszy raz taka objętość, takim ciężarem. Pierwsze serie trochę ciężkawe, potem już łatwo. "
